serie,fecha,conjunto,viajeros
total,2009-01-01,train,149944.02934517286
total,2009-02-01,train,127303.6922033775
total,2009-03-01,train,158795.67381860284
total,2009-04-01,train,172013.46769401644
total,2009-05-01,train,124559.52435069307
total,2009-06-01,train,151442.80337827274
total,2009-07-01,train,137616.9517422195
total,2009-08-01,train,179344.0418037644
total,2009-09-01,train,132791.13353560158
total,2009-10-01,train,153153.6097868689
total,2009-11-01,train,173623.2729586916
total,2009-12-01,train,219594.65119713946
total,2010-01-01,train,162333.26551165638
total,2010-02-01,train,132527.46022602476
total,2010-03-01,train,163351.09275954103
total,2010-04-01,train,170870.90530317114
total,2010-05-01,train,141291.6089476861
total,2010-06-01,train,155468.9470746268
total,2010-07-01,train,199667.83285998116
total,2010-08-01,train,183931.0306162957
total,2010-09-01,train,130760.34969839198
total,2010-10-01,train,157632.1243212268
total,2010-11-01,train,179538.33569674406
total,2010-12-01,train,227411.04636668903
total,2011-01-01,train,169708.55722701532
total,2011-02-01,train,139869.86559086668
total,2011-03-01,train,169957.79100865728
total,2011-04-01,train,191655.76499508988
total,2011-05-01,train,145923.54778125993
total,2011-06-01,train,163014.46872590488
total,2011-07-01,train,200521.00470178176
total,2011-08-01,train,174775.49370458006
total,2011-09-01,train,141183.83971974195
total,2011-10-01,train,152049.08059590787
total,2011-11-01,train,187320.0779012438
total,2011-12-01,train,243735.11067073603
total,2012-01-01,train,177125.95776830107
total,2012-02-01,train,147819.44219831316
total,2012-03-01,train,186237.2082521481
total,2012-04-01,train,182891.2362626656
total,2012-05-01,train,152137.5120438028
total,2012-06-01,train,173240.56422688224
total,2012-07-01,train,199340.37067282858
total,2012-08-01,train,170666.4032403826
total,2012-09-01,train,147847.52798648953
total,2012-10-01,train,167995.4374967636
total,2012-11-01,train,195400.06831855708
total,2012-12-01,train,238839.75250727762
total,2013-01-01,train,170858.696535424
total,2013-02-01,train,140163.89946159555
total,2013-03-01,train,217092.5553629627
total,2013-04-01,train,179526.03722270243
total,2013-05-01,train,179243.65691496403
total,2013-06-01,train,197164.99485562296
total,2013-07-01,train,211596.0172646677
total,2013-08-01,train,197150.9391696579
total,2013-09-01,train,163867.0618713466
total,2013-10-01,train,167624.46888297104
total,2013-11-01,train,202965.0230046185
total,2013-12-01,train,262449.4019393584
total,2014-01-01,train,219460.3466763904
total,2014-02-01,train,173476.24586474686
total,2014-03-01,train,200137.3302226692
total,2014-04-01,train,229359.1331489176
total,2014-05-01,train,190264.56475260793
total,2014-06-01,train,200093.47330128693
total,2014-07-01,train,237558.594805903
total,2014-08-01,train,225101.63196751618
total,2014-09-01,train,187684.78059355926
total,2014-10-01,train,223650.87089512649
total,2014-11-01,train,248017.60998571018
total,2014-12-01,train,325372.73464960407
total,2015-01-01,train,244120.9512092014
total,2015-02-01,train,197207.24754449064
total,2015-03-01,train,249587.40803931904
total,2015-04-01,train,247561.50812161784
total,2015-05-01,train,226414.60772244775
total,2015-06-01,train,245382.68691700848
total,2015-07-01,train,253035.1771321548
total,2015-08-01,train,245666.15541175148
total,2015-09-01,train,206700.77080266396
total,2015-10-01,train,227800.2788234454
total,2015-11-01,train,245184.0101002201
total,2015-12-01,train,329225.2385317896
total,2016-01-01,train,262106.6293521066
total,2016-02-01,train,214638.7297908925
total,2016-03-01,train,322030.33266050776
total,2016-04-01,train,211444.92035013388
total,2016-05-01,train,223932.92774985195
total,2016-06-01,train,226287.2952819879
total,2016-07-01,train,269012.23955853493
total,2016-08-01,train,258799.92772352407
total,2016-09-01,train,186819.30831740008
total,2016-10-01,train,249121.26446227162
total,2016-11-01,train,251531.9805278988
total,2016-12-01,train,321301.18866569793
total,2017-01-01,train,259641.60794906894
total,2017-02-01,train,233718.22885076454
total,2017-03-01,train,294444.4751136086
total,2017-04-01,train,377828.7289698364
total,2017-05-01,train,243741.78519639446
total,2017-06-01,train,247853.40796743412
total,2017-07-01,train,291574.27301642345
total,2017-08-01,train,274293.5932154499
total,2017-09-01,train,213696.60197929587
total,2017-10-01,train,239055.67001993404
total,2017-11-01,train,275693.4157893119
total,2017-12-01,train,356109.498921525
total,2018-01-01,train,303819.2179742683
total,2018-02-01,train,251666.99157049917
total,2018-03-01,train,393020.78296043223
total,2018-04-01,train,308239.861353772
total,2018-05-01,train,277750.0821155593
total,2018-06-01,train,311280.3505085109
total,2018-07-01,train,337300.58994755434
total,2018-08-01,train,352316.5717399916
total,2018-09-01,train,272777.06846753834
total,2018-10-01,train,282172.2126978078
total,2018-11-01,train,309687.6366610493
total,2018-12-01,train,393729.4913142119
total,2019-01-01,train,357645.7498163418
total,2019-02-01,train,285350.9076318986
total,2019-03-01,train,359757.99034261284
total,2019-04-01,train,388538.5481624975
total,2019-05-01,train,299297.3401131451
total,2019-06-01,train,333161.55536598404
total,2019-07-01,train,365333.6909719392
total,2019-08-01,train,365512.75428666285
total,2019-09-01,train,298250.07724295655
total,2019-10-01,train,294503.99136425246
total,2019-11-01,train,335783.9260785361
total,2019-12-01,train,449114.0705001674
total,2020-01-01,train,388222.6026616116
total,2020-02-01,train,317917.9765175921
total,2020-03-01,train,155415.5760920644
total,2020-04-01,train,10039.0
total,2020-05-01,train,9779.0
total,2020-06-01,train,11817.0
total,2020-07-01,train,13484.0
total,2020-08-01,train,15357.0
total,2020-09-01,train,12572.49268292683
total,2020-10-01,train,16680.78434895513
total,2020-11-01,train,52865.0
total,2020-12-01,train,55620.0
total,2021-01-01,train,89960.0
total,2021-02-01,train,52605.0
total,2021-03-01,train,85017.39633341735
total,2021-04-01,test,59743.1902214643
total,2021-05-01,test,73873.0
total,2021-06-01,test,95146.0
total,2021-07-01,test,97594.66433359256
total,2021-08-01,test,72327.0
total,2021-09-01,test,67022.99999999996
total,2021-10-01,test,83528.0
total,2021-11-01,test,98578.0
total,2021-12-01,test,223569.1278011966
total,2022-01-01,test,134303.0
total,2022-02-01,test,193903.6
total,2022-03-01,test,227886.0
total,2022-04-01,test,292648.0
total,2022-05-01,test,260013.0
total,2022-06-01,test,269366.0
total,2022-07-01,test,306246.0
total,2022-08-01,test,297602.0
total,2022-09-01,test,246464.0
total,2022-10-01,test,281938.0
total,2022-11-01,test,318693.0
total,2022-12-01,test,400266.0
total,2023-01-01,test,258166.18821264658
total,2023-02-01,test,198751.85766927942
total,2023-03-01,test,251839.50267324003
total,2023-04-01,test,283179.2556557847
total,2023-05-01,test,213191.03891840694
total,2023-06-01,test,224580.17382775573
total,2023-07-01,test,257626.95044792976
total,2023-08-01,test,264514.08794636687
total,2023-09-01,test,218486.4781049799
total,2023-10-01,test,164499.38846570507
total,2023-11-01,test,255894.27623440052
total,2023-12-01,test,327097.61316611955
total,2024-01-01,test,292731.86680673156
total,2024-02-01,test,265990.67321318097
total,2024-03-01,test,322310.39400228957
total,2024-04-01,test,240988.81729405138
total,2024-05-01,test,238807.9548151027
total,2024-06-01,test,234781.22686199367
total,2024-07-01,test,266974.95506929053
total,2024-08-01,test,282101.83101094456
total,2024-09-01,test,215658.8098341591
total,2024-10-01,test,249665.70083733913
total,2024-11-01,test,302674.076910829
total,2024-12-01,test,361749.6884796847
total,2025-01-01,test,289543.5982553855
total,2025-02-01,test,254428.88643334268
total,2025-03-01,test,278538.25098417036
total,2025-04-01,test,300287.6910735994
total,2025-05-01,test,247981.9259720942
total,2025-06-01,test,254190.0961535216
total,2025-07-01,test,283388.6987866118
total,2025-08-01,test,293780.5243930469
total,2025-09-01,test,218069.51122057904
total,2025-10-01,test,255920.93232213068
total,2025-11-01,test,310585.52010717517
total,2025-12-01,test,365573.0218067979
total,2026-01-01,test,300664.07527322107
total,2026-02-01,test,236844.11361811563
total,2026-03-01,test,291160.36570034793
total,2026-04-01,test,260951.04561236833
total,2026-05-01,test,241312.29525905842
total,2026-06-01,test,245687.58097717003
region_america_central,2009-01-01,train,93848.08764638269
region_america_central,2009-02-01,train,73988.38726361323
region_america_central,2009-03-01,train,96398.15089958302
region_america_central,2009-04-01,train,114286.68210111491
