serie,arquitectura,k,unidades,learning_rate,batch_size,dropout,epocas_efectivas,rmse_val_escalado,mae_val_escalado,tiempo_seg
total,M1,6,16,0.01,16,0.2,22,0.27089355772620416,0.20834019020476657,3.4
total,M1,6,16,0.001,16,0.2,23,0.2775873071317627,0.22376901579676786,3.4
total,M1,6,32,0.01,16,0.2,22,0.27559903709349587,0.20512166591125935,3.3
total,M1,6,32,0.001,16,0.2,23,0.2962011031778645,0.2651398524546973,3.6
total,M1,6,64,0.01,16,0.2,21,0.2700784835766725,0.21341607642947355,3.3
total,M1,6,64,0.001,16,0.2,25,0.2907441681567569,0.2069748489586385,3.4
total,M1,12,16,0.01,16,0.2,24,0.29144956485287277,0.2109662280507755,3.5
total,M1,12,16,0.001,16,0.2,22,0.2962819074513366,0.2534296374547354,3.3
total,M1,12,32,0.01,16,0.2,24,0.28859967386789537,0.20905594251193813,3.9
total,M1,12,32,0.001,16,0.2,23,0.31736708284213283,0.24676728482324597,3.4
total,M1,12,64,0.01,16,0.2,23,0.2801601279653388,0.22248848016340253,3.4
total,M1,12,64,0.001,16,0.2,24,0.3093483371200061,0.23808864862003642,3.6
total,M1,24,16,0.01,16,0.2,21,0.29170329232530784,0.2296241247184944,3.4
total,M1,24,16,0.001,16,0.2,22,0.3031147721863046,0.23079410056550023,3.3
total,M1,24,32,0.01,16,0.2,24,0.2865217789592033,0.2034632995390714,3.7
total,M1,24,32,0.001,16,0.2,26,0.32825929767192524,0.22735152751484233,4.1
total,M1,24,64,0.01,16,0.2,22,0.27385663107880936,0.19532295288282842,3.7
total,M1,24,64,0.001,16,0.2,21,0.3108198889549987,0.2724470087542486,3.8
total,M2,6,16,0.01,16,0.2,22,0.31100884273456997,0.259575139710337,4.2
total,M2,6,16,0.001,16,0.2,24,0.3142119241453483,0.2734905879849545,4.8
total,M2,6,32,0.01,16,0.2,21,0.3017037698557156,0.2624056359037113,4.7
total,M2,6,32,0.001,16,0.2,22,0.3048703550146683,0.24126926484484193,4.5
total,M2,6,64,0.01,16,0.2,21,0.30264148474067526,0.26682930885795275,4.4
total,M2,6,64,0.001,16,0.2,25,0.3186621917698302,0.23475753501334506,4.0
total,M2,12,16,0.01,16,0.2,22,0.33756040705717405,0.2604094839814793,3.8
total,M2,12,16,0.001,16,0.2,23,0.34617698565975297,0.2835962708818785,4.2
total,M2,12,32,0.01,16,0.2,23,0.3337113987512861,0.25527744073266184,4.0
total,M2,12,32,0.001,16,0.2,21,0.34163669093618,0.3227659471238009,3.7
total,M2,12,64,0.01,16,0.2,21,0.3311324690571683,0.3083179718409332,4.6
total,M2,12,64,0.001,16,0.2,24,0.35180510604745324,0.27230532683168757,5.0
total,M2,24,16,0.01,16,0.2,21,0.3544736112843397,0.25581485405905235,5.0
total,M2,24,16,0.001,16,0.2,22,0.3516685160668892,0.31330580133696107,5.8
total,M2,24,32,0.01,16,0.2,22,0.3453988472128822,0.24071655174437354,5.5
total,M2,24,32,0.001,16,0.2,21,0.3347430801955501,0.26930437470752716,5.1
total,M2,24,64,0.01,16,0.2,21,0.33033561002098033,0.27975067259414516,5.3
total,M2,24,64,0.001,16,0.2,24,0.3678449906357613,0.2721276929015238,4.8
frontera_aurora,M1,6,16,0.01,16,0.2,22,0.28497425110292224,0.22916489235239088,2.7
frontera_aurora,M1,6,16,0.001,16,0.2,23,0.29883469318291034,0.2501001353480106,2.7
frontera_aurora,M1,6,32,0.01,16,0.2,24,0.2799842858017877,0.19108167362738523,2.9
frontera_aurora,M1,6,32,0.001,16,0.2,28,0.3067926211094518,0.20069269783823562,3.2
frontera_aurora,M1,6,64,0.01,16,0.2,24,0.2822379188382576,0.1772889340671785,2.9
frontera_aurora,M1,6,64,0.001,16,0.2,25,0.3066153187467865,0.22226907384920988,4.1
frontera_aurora,M1,12,16,0.01,16,0.2,24,0.2945428239817345,0.20073520196056616,3.2
frontera_aurora,M1,12,16,0.001,16,0.2,22,0.3115011263288761,0.26755108949221035,2.9
frontera_aurora,M1,12,32,0.01,16,0.2,24,0.2869527508415213,0.19864290384030592,3.2
frontera_aurora,M1,12,32,0.001,16,0.2,23,0.31842577032938957,0.2509825346626466,3.3
frontera_aurora,M1,12,64,0.01,16,0.2,23,0.2857758271235788,0.20497634314076355,2.9
